TestTime,Result,Cooked,PeakdB,CookedVPtime,RefVPTime,CookedTime/RefTime*100%,VPList,CookedTime,RefTime,Cooked/RefTime*100%,VRRestult,CookVLen,RefVLen,,,
2018-05-18-18-49-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_49_00\capaec9.pcm,-5,21744,12036,180.6580259,[(2 1049 -17) (75457 321 -20) (226560 2178 -20) (426753 739 -11) (474105 815 -10) (559838 639 -11) (618195 420 -10) (664800 260 -15) (693601 40 -33) (708868 779 -11) (774240 320 -9) (821748 362 -6) (895201 350 -20) (941841 381 -18) (1034883 110 -13) (1082263 140 -13) (1133760 140 -20) (1177834 228 -17) (1215375 410 -8) (1263249 413 -7) (1338738 39 -38) (1386879 45 -38) (1407360 11566 -5)],10573,8576,123.2859142,又赢杨行一能觉你嗯行你你啊疼疼疼我的嗯嗯嗯唉那几点我走了哦嗯嗯嗯嗯嗯,34,52,,,
2018-05-18-18-50-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_50_00\capaec10.pcm,-5,16678,12036,138.5676304,[(433440 381 -11) (481053 391 -11) (569763 411 -12) (617443 421 -10) (661441 361 -11) (709363 365 -10) (774247 350 -7) (822223 343 -6) (894314 258 -17) (942361 376 -15) (1034510 148 -13) (1082103 155 -13) (1130913 201 -13) (1178087 223 -12) (1215840 400 -8) (1263622 401 -8) (1411681 11493 -5)],9007,8576,105.025653,银阳阳你行有形形啊那我的心那么好的恩爱我要寄钱给我怎么办嗯一定一定,33,52,,,
2018-05-18-18-51-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_51_00\capaec11.pcm,-6,16590,12036,137.8364905,[(432965 350 -11) (480505 384 -10) (570721 380 -13) (617820 407 -12) (660965 360 -14) (708771 375 -13) (773805 329 -7) (821680 347 -7) (893760 251 -19) (941075 386 -16) (1033934 130 -15) (1081528 147 -14) (1133280 131 -15) (1177549 215 -12) (1214973 410 -8) (1262973 427 -7) (1407384 11561 -6)],9210,8576,107.3927239,有行人行全行你很热啊你可以给我的呢嗯嗯i嗯嗯不要你朋友我怎么敢有这么价值不严重你不,41,52,,,
2018-05-18-18-52-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_52_00\capaec12.pcm,-5,16258,12036,135.078099,[(432023 390 -12) (480197 385 -11) (569814 401 -12) (617677 401 -12) (660004 382 -11) (707995 385 -11) (773405 177 -7) (821245 337 -6) (896640 180 -30) (941221 259 -18) (1033920 110 -16) (1081121 140 -14) (1132320 140 -13) (1177068 219 -9) (1214428 419 -7) (1262428 424 -8) (1409280 11509 -5)],8955,8576,104.4193097,人能就行一行你有行啊嗯嗯那我的心嗯嗯唉聊天的聊天的哦嗯,27,52,,,
2018-05-18-18-53-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_53_00\capaec13.pcm,-5,16912,12036,140.5117979,[(432961 380 -12) (480368 399 -11) (570721 390 -13) (618372 409 -10) (661442 371 -12) (709066 384 -10) (774285 339 -9) (822028 356 -6) (894273 371 -19) (941957 423 -15) (1033490 151 -13) (1081856 144 -13) (1133280 152 -14) (1177891 229 -9) (1215392 409 -9) (1263171 413 -10) (1407426 11592 -5)],8890,8576,103.6613806,人有你有你行营你把你的给我呢我的心里要跑步一种爱好一个我等着g大的誓言一定,37,52,,,
2018-05-18-18-54-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_54_00\capaec14.pcm,-5,16725,12036,138.9581256,[(433473 380 -13) (480489 408 -10) (570754 400 -12) (618107 419 -10) (661963 340 -10) (709648 363 -9) (775242 310 -6) (822638 339 -5) (894275 380 -17) (942187 381 -15) (1034481 139 -15) (1082500 137 -14) (1133330 170 -14) (1181103 174 -11) (1215884 401 -10) (1263745 408 -7) (1408834 11576 -5)],8825,8576,102.9034515,赢行你刘如你那行嗯嗯啊那我的性福嗯嗯嗯嗯让你朋友给我的恩恩恩恩恩恩,33,52,,,
2018-05-18-18-55-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_55_00\capaec15.pcm,-6,16713,12036,138.8584247,[(432482 381 -11) (480251 390 -11) (570270 402 -10) (618357 407 -10) (660961 372 -12) (708755 371 -12) (774249 330 -6) (822136 331 -7) (893764 372 -17) (941613 368 -17) (1038235 40 -20) (1081357 149 -14) (1129926 180 -18) (1177323 219 -13) (1214883 390 -9) (1262170 422 -7) (1406880 11589 -6)],8940,8576,104.244403,又赢杨行有又热如行啊我的心呢嗯嗯唉我要一个我喜欢的人嗯嗯嗯,29,52,,,
2018-05-18-18-56-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_56_00\capaec16.pcm,-5,16720,12036,138.9165836,[(432487 390 -12) (480439 398 -11) (570722 400 -12) (618387 410 -10) (661006 370 -10) (709060 383 -10) (774251 340 -7) (822139 348 -7) (894251 370 -14) (942071 271 -13) (1033977 140 -15) (1082024 145 -15) (1129978 220 -16) (1178509 214 -12) (1215855 402 -9) (1263573 414 -8) (1411209 11505 -5)],8989,8576,104.8157649,有有这m型把你按了我的十五号嗯好不换成一种爱自己我想我不怕局部眼睛一闭,35,52,,,
2018-05-18-18-57-46,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_57_00\capaec17.pcm,-5,16260,12036,135.0947159,[(433002 392 -10) (481108 394 -10) (575520 260 -15) (617780 422 -11) (663840 300 -12) (709318 370 -10) (775208 310 -11) (822775 337 -7) (894744 239 -17) (942358 250 -18) (1035362 100 -16) (1082565 135 -14) (1133762 140 -12) (1178143 221 -10) (1215843 400 -9) (1263554 405 -7) (1408320 11585 -5)],8859,8576,103.2999067,能赢能一行如如唉行在啊很么问题嗯恩爱让你无聊的嗯嗯嗯,26,52,,,
2018-05-18-18-58-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_58_00\capaec18.pcm,-6,16622,12036,138.1023596,[(432960 382 -11) (480944 384 -11) (570808 400 -11) (618697 403 -10) (661939 351 -13) (709745 357 -12) (774762 340 -7) (822867 336 -7) (894725 372 -17) (942605 390 -16) (1034444 151 -14) (1082139 162 -14) (1133280 83 -15) (1180938 169 -12) (1216800 370 -18) (1263463 413 -9) (1409280 11559 -6)],8916,8576,103.9645522,有影阳阳你行有有有行啊撸你我的心要么互爱啊刚你给我讲了嗯呢嗯嗯,31,52,,,
2018-05-18-18-59-46,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_18_59_00\capaec19.pcm,-5,16788,12036,139.4815553,[(433920 370 -11) (481023 406 -10) (570738 390 -14) (618510 411 -11) (661440 360 -13) (709344 373 -12) (774729 330 -9) (822595 338 -7) (894739 360 -16) (942034 375 -16) (1034919 119 -17) (1082724 123 -15) (1130453 220 -13) (1178074 226 -16) (1216330 392 -8) (1263959 410 -8) (1408832 11585 -5)],8929,8576,104.1161381,有赢你有有你你很行啊有我的嗯恩爱的之前的那一行的字我想了你,29,52,,,
2018-05-18-19-00-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_00_00\capaec20.pcm,-5,16333,12036,135.7012296,[(433022 408 -9) (481245 404 -10) (571268 390 -12) (619103 401 -9) (662400 351 -16) (710048 357 -15) (779521 200 -10) (823475 305 -7) (898566 300 -18) (946046 311 -14) (1034880 140 -23) (1082514 147 -18) (1134724 150 -24) (1181899 170 -21) (1216814 370 -9) (1264289 395 -7) (1411200 11534 -5)],8839,8576,103.0666978,能赢杨仁恩行晕你好行啊我的心里嗯嗯唉不要你给我煮的恩恩恩恩恩恩恩恩,33,52,,,
2018-05-18-19-01-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_01_00\capaec21.pcm,-6,16672,12036,138.51778,[(433445 391 -10) (481339 411 -10) (571215 411 -11) (619333 412 -10) (662485 370 -11) (710312 371 -12) (775220 340 -7) (823101 348 -7) (894743 321 -21) (943049 321 -18) (1035407 141 -14) (1083493 137 -13) (1133760 162 -13) (1178630 233 -11) (1216393 401 -9) (1264485 401 -8) (1412160 11501 -6)],9035,8576,105.3521455,能行你有全打什么行把你煮了我的心里嗯好的恩爱我要激情的我想你,30,52,,,
2018-05-18-19-02-46,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_02_00\capaec22.pcm,-5,16647,12036,138.3100698,[(433920 380 -12) (481656 398 -11) (572160 390 -13) (619567 404 -12) (662880 350 -15) (710443 363 -12) (775702 330 -7) (823463 342 -5) (895702 350 -15) (943178 376 -15) (1035360 141 -19) (1083152 149 -15) (1134278 150 -16) (1182615 151 -14) (1216803 391 -10) (1264574 401 -7) (1409301 11581 -5)],8627,8576,100.5946828,用熊一有热如你行你啊你有又不有嗯恩爱你让自己怎么就想嗯嗯嗯嗯嗯,31,52,,,
2018-05-18-19-03-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_03_00\capaec23.pcm,-5,16492,12036,137.0222665,[(432961 392 -11) (480889 400 -11) (571207 402 -10) (619000 410 -11) (661991 369 -12) (709718 373 -12) (775275 288 -7) (823115 334 -6) (898080 180 -30) (942709 377 -17) (1035840 110 -20) (1082940 137 -17) (1133280 160 -14) (1178514 224 -11) (1216320 390 -8) (1263659 421 -7) (1411210 11525 -5)],8965,8576,104.5359142,赢赢赢赢赢行如你哪行晚安了我的心嗯嗯唉不要给情面我看看嗯嗯嗯,30,52,,,
2018-05-18-19-04-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_04_00\capaec24.pcm,-6,16665,12036,138.4596211,[(433922 371 -13) (481113 396 -11) (571220 391 -14) (619048 394 -11) (661452 370 -14) (709552 361 -14) (774763 339 -7) (822820 337 -6) (895200 241 -13) (943171 370 -14) (1035382 131 -18) (1082645 144 -19) (1130479 221 -15) (1178217 230 -14) (1215933 409 -10) (1263757 411 -9) (1408803 11549 -6)],9103,8576,106.145056,你赢又想你有恩行跨行的啊那我的心里那么好不用一种爱好鲫鱼我长的g价值四元的,37,52,,,
2018-05-18-19-05-46,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_05_00\capaec25.pcm,-5,16799,12036,139.5729478,[(433920 380 -12) (481179 413 -11) (571200 380 -14) (619122 402 -10) (662400 370 -12) (709963 379 -11) (775204 340 -7) (823114 340 -6) (894249 370 -15) (942219 387 -15) (1034880 140 -16) (1082671 142 -14) (1134240 140 -13) (1178551 222 -10) (1215852 431 -10) (1263970 414 -7) (1411204 11549 -5)],8884,8576,103.5914179,人行一有晕如我行你们啊很热我的心嗯嗯i嗯嗯不要什么那就想嗯嗯嗯嗯嗯,33,52,,,
2018-05-18-19-06-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_06_00\capaec26.pcm,-6,16630,12036,138.1688269,[(433920 391 -10) (481372 408 -10) (571774 389 -11) (619591 399 -10) (662499 368 -17) (710540 367 -16) (775802 309 -9) (823971 309 -7) (896166 362 -14) (943911 368 -13) (1036801 60 -20) (1083211 152 -17) (1135200 140 -24) (1181914 181 -14) (1217280 380 -8) (1264779 395 -8) (1407391 11652 -6)],9214,8576,107.4393657,人能赢赢行有如如从行俺很很很我的心让我有爱不要与我抢了二个嗯嗯嗯,32,52,,,
2018-05-18-19-07-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_07_00\capaec27.pcm,-5,16996,12036,141.2097042,[(427688 500 -11) (475181 512 -11) (571680 390 -13) (619584 396 -10) (661928 371 -11) (709611 384 -9) (774772 340 -9) (822628 347 -7) (894721 231 -16) (941878 262 -15) (1034403 161 -16) (1082328 161 -14) (1130897 210 -14) (1178367 223 -16) (1215864 450 -8) (1263785 443 -7) (1406403 11615 -5)],9141,8576,106.588153,唉迎你能如恩行啊你啊你都成我的呢嗯我完成一种爱好我要结局我讲的有句话橘色眼睛里面,40,52,,,
2018-05-18-19-08-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_08_00\capaec28.pcm,-5,16543,12036,137.4459953,[(433923 382 -11) (481736 383 -10) (575040 230 -11) (619062 407 -11) (662402 359 -11) (709536 406 -11) (774732 350 -10) (822406 358 -6) (895685 230 -18) (942821 254 -15) (1034917 129 -14) (1082845 143 -13) (1130439 200 -14) (1178350 208 -10) (1215376 440 -10) (1263623 436 -9) (1406407 11628 -5)],8777,8576,102.34375,能能行人杨有你了啊看看有我的新号码嗯嗯嗯唉我要给钱的我就很累的嗯嗯嗯,34,52,,,
